id,name,sector,organization_type,country,headquarter_city,founded_year,description,website,logo_url,capitalization,funds_raised,revenue_millions,employees_count,main_investors,main_competitors,participation,main_acquisitions,key_resources,strategic_partnerships,is_validated,end_year,end_reason,company_status,created_at,updated_at,profit_millions,capex_millions,rd_expenses_millions,community_size,community_unit,sector_domains
311,aiomics,"Education, HealthTech, SaaS, Workflow & Productivity, Natural Language Processing",Private company,Germany,Berlin,2024,"Aiomics (Aiomics GmbH) is a Berlin-based healthcare technology company founded in 2025 that develops an AI-powered clinical data intelligence and documentation co-pilot platform for European hospitals. Their goal is to automate routine administrative burdens, reduce physician burnout, and ensure clinical data reliability so medical staff can spend more time treating patients.",https://www.aiomics.io/,https://www.google.com/s2/favicons?sz=128&domain=aiomics.io,,2,,30,"Vorwerk Ventures, Calm/Storm Ventures, and Norrsken Foundation.","Nabla, Corti, Glass Health, Nuance DAX, and DeepScribe.",,,"Proprietary Med-Graph compliance architecture, GDPR C5-attested infrastructure, and TÜV NORD ISO/IEC 27001:2022 security certifications.",Charité Institute for Medical Informatics (for independent clinical evaluation).,1,,,Active,2026-07-22 09:32:56,2026-09-02 14:15:22,,,,,user,"Artificial Intelligence, Consumer & Society, Health & Life Sciences, Software & Delivery"
2988,Amboss,"Education, HealthTech, MedTech, SaaS, Workflow & Productivity",Private company,Germany,Berlin,2012,"AMBOSS is a medical education technology company that provides a comprehensive interactive learning platform and clinical decision support tool. It serves over two million medical students, practicing physicians, and healthcare professionals in over 170 countries by offering exam preparation Q-banks, an extensive medical library, and evidence-based clinical guidelines at the point of care.",https://www.amboss.com,https://logo.clearbit.com/amboss.com,,292,,1078,"Partech Partners, Target Global, Cherry Ventures, Wellington Partners, Holtzbrinck Digital","Osmosis, Picmonic, Lecturio, OnlineMedEd, UWorld",,NEJM Knowledge+ (acquired from the Massachusetts Medical Society),"Proprietary library of 25,000+ medical articles, 11,000+ NBME-style Qbank questions, and an in-house team of physicians and scientific editors.","American Medical Association (AMA), Massachusetts Medical Society, and 350+ U.S. medical schools.",3,,,Active,2026-09-04 09:16:07,2026-09-04 09:25:19,,,,2000000,user,"Consumer & Society, Health & Life Sciences, Software & Delivery"
377,Astrid Education,"Education, Voice & Audio AI, SaaS, Natural Language Processing, Workflow & Productivity",Private company,Sweden,Stockholm,2020,"Astrid combines storytelling with an engaging AI-powered learning journey to help kids and teens around the world become fluent, confident English speakers. Voice-based and personalized at the core, Astrid gives children a new, fun way to practice English independently, unsupervised, at their own pace.",https://www.astrideducation.com,https://www.google.com/s2/favicons?sz=128&domain=astrideducation.com,20,5.3,2,20,"183 Invest, Fredrik Jung Abbou, Joachim Hedenius (Co-founders of Kry), Sebastian Knutsson (Co-founder of King), Marcus Lewold, Lars Thunell, and the af Jochnick family.","Duolingo, Buddy.ai, ELSA Speak, Busuu, and Novakid.",,,"Proprietary clinical-grade child speech recognition engines, CEFR proficiency mapping frameworks, and customized phoneme databases.","Oxford University Press / Oxford Languages, the Israeli Ministry of Education, and local governmental deployment coalitions across Vietnam and South Korea.",2,,,Active,2026-07-22 09:32:57,2026-09-02 14:48:51,,,,150000,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
432,Blended,"R&D, Education, SaaS, EdTech, Mobile Software",Private company,Argentina,Buenos Aires,2015,"Blended developed a communication and administrative management platform for K-12 schools across Latin America. Tailored to regional education needs, the mobile-first platform connected administrators, teachers, and parents with real-time newsfeeds, grade reports, attendance tracking, and direct messaging.",https://get-blended.com/,https://www.google.com/s2/favicons?sz=128&domain=get-blended.com,,0.75,1,18,"Wayra (Telefónica), Seedstars, Entrepreneurs Roundtable Accelerator (ERA)","ClassDojo, Remind, Seesaw, Brightwheel",Global Winner of the Seedstars World Competition (2019),,"Mobile app for parents, administrative school management portal","Telefónica / Wayra, K-12 school networks in Argentina, Chile, and Uruguay",3,2022,Closure,Inactive,2026-07-22 09:32:58,2026-09-04 09:30:33,,,,500000,user,"Consumer & Society, Public Research & Trust, Software & Delivery"
3000,Brightwheel,"Education, SaaS, Workflow & Productivity, Consumer & Society, Software & Delivery",Private company,United States,"San Francisco, California",2013,"Brightwheel (DSSV, Inc.) is a comprehensive childcare management and early education platform built for daycares, preschools, and early childhood learning centers. The all-in-one SaaS platform streamlines administrative operations by combining contactless check-in/attendance tracking, paperless billing and payment processing, classroom management, real-time family communication, and research-backed early education curriculum and assessment tools.",https://mybrightwheel.com/,https://logo.clearbit.com/mybrightwheel.com,,88.8,,500,"Bessemer Venture Partners, Addition, Chan Zuckerberg Initiative, Emerson Collective, GGV Capital, RRE Ventures, Eniac Ventures, Mark Cuban Companies, Lowercase Capital","Procare Solutions, ClassDojo, Seesaw, HiMama, Tadpoles, SmartCare","Featured on ABC's Shark Tank (Season 7, securing investment from Mark Cuban and Chris Sacca)","Experience Early Learning / Mother Goose Time (acquired 2023), MyChild (acquired 2016)","Brightwheel SaaS mobile app, Experience Curriculum & Assessment system (validated by Johns Hopkins University), automated billing gateway",Thousands of early childhood education providers and daycare centers across North America,3,,,Active,2026-09-04 16:55:23,2026-09-05 11:31:11,,,44,2000000,user,"Consumer & Society, Software & Delivery"
2990,Brisk Teaching,"Education, SaaS, Natural Language Processing, Generative Media, Workflow & Productivity",Private company,United States,"San Francisco, California",2023,"Brisk Teaching develops an AI-powered browser extension built specifically for K-12 educators and school districts. Operating directly within existing teacher tools—such as Google Docs, Slides, web pages, and YouTube—Brisk automates digital tasks including lesson planning, text differentiation, drafting essay feedback, creating quizzes, and analyzing writing history, saving teachers up to 10 hours per week.",https://www.briskteaching.com/,https://www.google.com/imgres?q=brisk%20teaching&imgurl=https%3A%2F%2Fyt3.googleusercontent.com%2FlHRPVJ1BgXD_e9h2aUnPHihxkrE5E_WoGn_4EiSaY_G3BWP5IvNK3QvNBWKOaMh-6vePsIyUgA%3Ds900-c-k-c0x00ffffff-no-rj&imgrefurl=https%3A%2F%2Fwww.youtube.com%2F%40Briskteaching&docid=B8qDXFYZmKJLLM&tbnid=ty6Y9cF1DvThWM&vet=12ahUKEwj24ce-z9SWAxUpOfsDHVAtCA0QnPAOegQIQhAA..i&w=900&h=900&hcb=2&ved=2ahUKEwj24ce-z9SWAxUpOfsDHVAtCA0QnPAOegQIQhAA,,21.9,,83,"Bessemer Venture Partners, Owl Ventures, South Park Commons, Springbank Collective, Coherence Fund, Coalition Operators","MagicSchool AI, Diffit, Eduaide.ai, Khanmigo, Playlab",,,"Chrome Browser Extension, Brisk Boost (interactive student-facing AI activity tool), Google Workspace integration","Over 2,000 K-12 schools and school districts",3,,,Active,2026-09-04 09:16:42,2026-09-04 09:34:17,,,,1000000,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
1983,Cardiologs,"Education, HealthTech, MedTech",Subsidiary,France,,2014,"Cardiologs is an AI startup listed by Licorne Society. La valeur de Cardiologs repose sur le gain de temps majeur apporté aux rythmologues et cardiologues face à la masse de données issues des enregistrements de longue durée (Holters) :Analyse Holter accélérée de 42 % : Ses algorithmes de machine learning passent au crible des millions de battements cardiaques pour repérer les anomalies en quelques minutes au lieu de plusieurs heures manuellement.Indépendance matérielle (Vendor-neutral) : La plateforme est capable d'ingérer et d'analyser les données ECG issues de n'importe quel dispositif : montres connectées, patchs cutanés ou moniteurs Holter traditionnels.Validation médicale forte : C'est l'un des premiers logiciels d'IA grand public à avoir obtenu la double validation Marquage CE (Europe) et Homologation FDA (États-Unis) pour détecter jusqu'à 14 types d'arythmies (dont la fibrillation auriculaire). Ses modèles reposent sur une base d'entraînement de plus de 20 millions d'enregistrements ECG. Le rachat stratégique (Novembre 2021) : Alors en pleine phase d'hyper-croissance, Cardiologs a été officiellement rachetée par Royal Philips. Ce rachat visait à intégrer la brique d'IA logicielle de Cardiologs au sein du pôle de télémétrie ambulatoire de Philips (consolidé plus tôt par l'achat de BioTelemetry pour 2,8 milliards $).",,,,25,3,50,Philips,,,,,,1,,,Active,2026-08-11 11:23:57,2026-08-23 08:03:46,,,,,,"Consumer & Society, Health & Life Sciences"
1979,Chronolife,"Education, HealthTech, MedTech",startup,France,,,Chronolife is an AI startup listed by Licorne Society.,,,,,,,,,,,,,0,,,,2026-08-11 11:23:57,2026-08-15 18:38:03,,,,,,"Consumer & Society, Health & Life Sciences"
1977,Cibiltech,"Education, HealthTech, MedTech",,France,,2019,Cibiltech is an AI startup listed by Licorne Society.,,,,,,,,,,,,,0,2023,Bankruptcy,Active,2026-08-11 11:23:57,2026-08-15 18:39:51,,,,,,"Consumer & Society, Health & Life Sciences"
2997,ClassDojo,"Education, SaaS, Workflow & Productivity, Consumer & Society, Mobile Applications",Private company,United States,"San Francisco, California",2011,"ClassDojo is an educational communication and classroom management platform that connects K-12 teachers, students, and families. Co-founded by Sam Chaudhary and Liam Don, the platform provides real-time behavior tracking and feedback (Dojo points), direct messaging, media feeds (Class Story/School Story), and AI-assisted teacher tools. Used in over 95% of U.S. K-8 elementary schools, ClassDojo monetizes primarily through its direct-to-consumer family subscription, ClassDojo Plus.",https://www.classdojo.com/,https://www.google.com/search?q=https://logo.clearbit.com/classdojo.com,,221,62.5,450,"General Catalyst, Tencent, SignalFire, Shasta Ventures, Y Combinator, Reach Capital, GSV Ventures, Paul Graham, SV Angel, Uncork Capital, Five Sigma","Remind, Seesaw, Brightwheel, ClassTag, Bloomz, Classcraft",Y Combinator (Winter 2012 Batch),,"ClassDojo mobile apps (iOS/Android), Class Story & School Story broadcast engines, Dojo Points behavior system, ClassDojo Plus family tier, and AI teaching tools (Sidekick)","Over 95% of U.S. K-8 schools, public school districts, ClassLink, Google for Education, and GoFundMe.org",3,,,Active,2026-09-04 16:54:50,2026-09-05 12:38:47,,,,51000000,user,"Consumer & Society, Software & Delivery"
