canonical_label,group,alias_terms,keyword_terms,description,domain
Advertising,Business Functions,AdTech,advertising|adtech,Digital advertising and media buying.,Commercial Functions
Aerospace,Industry & Mobility,Aviation|Space|Air Transportation,aviation|aerospace|satellite|space,Aircraft space and satellite technologies.,Mobility Space & Defence
Agriculture & Forestry,Sector Applications,AgriTech|FoodTech,agriculture|agri|farming|foodtech|forestry,Food agriculture and forestry applications.,Environment & Resources
AI model,AI & Data,Artificial Intelligence|AI|AI lab|LLM|LLMs|ML|Intelligence|AI OS,artificial intelligence|language model|foundation model|machine learning|multimodal|world model,Model development and model providers.,Artificial Intelligence
Agentic,AI & Data,Agents,agentic|agents,Autonomous agent systems.,Artificial Intelligence
Automation,Industry & Mobility,Autonomous Security,automation|autonomous security,Process and decision automation.,Industry & Manufacturing
Biotech,Sector Applications,AI Pharma|Pharmatech|Chemicals,biotech|pharma|drug discovery,Biotechnology and drug discovery.,Health & Life Sciences
Blockchain & Web3,Business Functions,Blockchain|Web3|Crypto|NFT,blockchain|web3|cryptocurrency,Blockchain and decentralized technologies.,Finance & Capital
Cloud Provider,Infrastructure & Engineering,Cloud Infrastructure|Cloud Computing|neocloud,cloud|neocloud|edge computing|data center|networking|iaas|paas,Cloud platforms and network services.,Compute & Infrastructure
Computer Vision,AI & Data,Computer vision|Imaging,image|imaging|geospatial|computer vision,Visual perception and image analysis.,Artificial Intelligence
Construction,Industry & Mobility,BIM,construction|built environment|bim,Construction and built environment.,Consumer & Society
Customer Experience,Business Functions,CX|Customer service|Chatbot|Companion AI,customer experience|customer service|cx,Customer support and experience.,Commercial Functions
Data,AI & Data,Data Services|Data sciences|Database|Vectorial DB|Annotation|PIM|DMP,data|analytics|business intelligence|annotation|training data,Data platforms analytics and labelling.,Data & Knowledge
Digital Twins,AI & Data,Digital twins,digital twin|digital twins,Digital representations of physical assets and systems.,Data & Knowledge
Defence,Industry & Mobility,Defense,defence|defense|military,Defence technologies.,Mobility Space & Defence
Developer Tools,Infrastructure & Engineering,Code|IDE|vibe coding|CAD,developer|ide|code|no-code|app development|testing|quality assurance,Developer productivity and software engineering.,Software & Delivery
